Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
214100;Beraubung von Taxifahrern;11;9;4;11;4;5;3;6;5;12;6;3;2017
216000;Handtaschenraub;156;146;148;124;129;127;120;127;130;137;143;165;2017
216010;Handtaschenraub § 249 StGB;143;135;135;113;118;119;115;121;118;130;132;152;2017
216020;Handtaschenraub § 250 StGB;13;9;13;11;9;7;5;5;10;6;8;13;2017
216030;Handtaschenraub mit Todesfolge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
216050;Räuberische Erpressung bei Handtaschenraub § 255 StGB;0;2;0;0;2;1;0;1;2;1;3;0;2017
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;1170;1263;1322;1254;1366;1282;1395;1319;1384;1404;1098;1081;2017
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;756;809;835;808;866;806;945;907;900;908;702;691;2017
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;178;216;232;195;211;258;239;209;243;232;184;197;2017
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;1;1;0;1;0;0;0;0;1;0;1;0;2017
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;235;237;255;250;289;218;211;203;240;264;211;193;2017
218000;Raub zur Erlangung von Betäubungsmitteln;13;13;18;13;4;11;10;8;9;8;9;6;2017
218010;Raub zur Erlangung von Betäubungsmitteln § 249 StGB;5;4;11;5;1;1;5;2;5;2;5;1;2017
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln § 250 StGB;4;4;5;4;2;7;0;1;1;4;2;4;2017
218030;Raub mit Todesfolge zur Erlangung von Betäubungsmitteln § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
218050;Räuberische Erpressung zur Erlangung von Betäubungsmitteln § 255 StGB;4;5;2;4;1;3;5;5;3;2;2;1;2017
219000;Raubüberfälle in Wohnungen;232;170;202;187;201;188;186;163;148;170;184;140;2017
219010;Raub in Wohnungen § 249 StGB;109;64;91;95;100;86;82;91;68;65;84;75;2017
219020;Schwerer Raub in Wohnungen § 250 StGB;62;61;61;41;53;60;49;39;35;49;60;33;2017
219030;Raub mit Todesfolge in Wohnungen § 251 StGB;0;0;0;0;1;0;0;0;0;0;0;0;2017
219050;Räuberische Erpressung in Wohnungen § 255 StGB;61;45;50;51;47;42;55;33;45;56;40;32;2017
220000;Körperverletzung §§ 223-227, 229, 231 StGB;41484;43714;44441;43803;51585;49723;51150;47128;45681;45535;39632;40331;2017
221000;Körperverletzung mit Todesfolge §§ 227, 231 StGB;4;2;5;2;6;5;2;6;4;8;9;6;2017
221010;Körperverletzung mit Todesfolge § 227 StGB;4;2;5;2;6;5;2;6;4;8;9;6;2017
221020;Beteiligung an einer Schlägerei mit Todesfolge § 231 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;10310;10502;10731;10828;12661;11898;12663;11298;11014;11210;9675;9528;2017
222010;Sonstige Tatörtlichkeit bei gefährlicher Körperverletzung § 224 StGB;6241;5905;6029;6007;6616;6247;6477;5756;5647;6098;5669;5635;2017
222020;Sonstige Tatörtlichkeit bei schwerer Körperverletzung § 226 StGB;29;18;19;26;23;30;28;17;24;23;16;30;2017
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;1;6;1;2;2;4;1;3;1;2;0;1;2017
222040;Verstümmelung weiblicher Genitalien § 226a StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;4039;4573;4682;4793;6020;5617;6157;5522;5342;5087;3990;3862;2017
222110;Gefährliche Körperverletzung gemäß § 224 StGB auf Straßen, Wegen oder Plätzen;4018;4551;4662;4784;5998;5585;6140;5498;5323;5069;3978;3850;2017
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;18;18;13;8;20;27;13;23;14;14;12;9;2017
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;3;4;7;1;2;5;4;1;5;4;0;3;2017
223000;Misshandlung von Schutzbefohlenen § 225 StGB;304;367;353;339;354;390;360;346;324;285;314;246;2017
223001;Misshandlung Schutzbefohlener ab 14 Jahren;78;95;86;65;80;107;79;88;70;66;84;71;2017
223100;Misshandlung von Kindern;226;272;267;274;274;283;281;258;254;219;230;175;2017
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;29098;31350;31606;30941;36404;35268;36010;33364;32625;32276;28193;29110;2017
225000;Fahrlässige Körperverletzung § 229 StGB;1768;1493;1746;1693;2160;2162;2115;2114;1714;1756;1441;1441;2017
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;14982;14601;17156;15380;17435;17705;17418;16540;15434;15575;14556;13272;2017
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;122;101;122;97;141;114;136;148;119;120;98;112;2017
231100;Menschenraub § 234 StGB;1;0;1;0;1;0;0;0;1;1;1;0;2017
231200;Entziehung Minderjähriger § 235 StGB;118;96;114;93;133;108;129;132;100;86;47;16;2017
231200;Entziehung Minderjähriger § 235 StGB;1;3;6;2;6;5;5;16;17;30;49;95;2017
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;0;0;0;0;0;0;0;0;0;1;0;2;2017
231279;Sonstige Entziehung Minderjähriger § 235 StGB;1;3;6;2;6;5;5;16;17;29;49;93;2017
231300;Kinderhandel § 236 StGB;2;1;0;2;0;0;2;0;0;1;1;1;2017
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;14811;14443;16980;15246;17256;17552;17243;16359;15286;15418;14422;13125;2017
232100;Freiheitsberaubung § 239 StGB;396;336;345;370;376;399;352;350;354;346;338;298;2017
232200;Nötigung § 240 StGB;4906;4991;6115;5475;5912;6094;6014;5784;5327;5270;4798;4373;2017
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;1951;2183;2855;2616;2772;2960;2929;2860;2576;2515;2142;1995;2017
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;2955;2808;3260;2859;3140;3134;3085;2924;2751;2755;2656;2378;2017
232300;Bedrohung § 241 StGB;7940;7708;8904;7981;9382;9444;9341;8711;8205;8263;7790;7159;2017
232400;Nachstellung (Stalking) § 238 StGB;1557;1405;1612;1414;1582;1607;1531;1512;1389;1533;1490;1291;2017
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;1546;1389;1600;1395;1568;1588;1519;1503;1380;1512;1477;1282;2017
